Date : 2024-05-28 11:58:46
Directory : c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Scripts
Total : 1517 files,  -231848 codes, -43934 comments, -28434 blanks, all -304216 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ..\glad\include\glad                                                                                                                  |          1 |     -5,095 |        -20 |        -17 |     -5,132 |
| ..\glad\src                                                                                                                           |          1 |     -2,447 |        -25 |        -47 |     -2,519 |
| ..\glfw-3.3.8.bin.WIN64                                                                                                               |          2 |       -690 |     -5,563 |       -289 |     -6,542 |
| ..\glfw-3.3.8.bin.WIN64\glfw-3.3.8.bin.WIN64                                                                                          |          2 |       -690 |     -5,563 |       -289 |     -6,542 |
| ..\glfw-3.3.8.bin.WIN64\glfw-3.3.8.bin.WIN64\include                                                                                  |          2 |       -690 |     -5,563 |       -289 |     -6,542 |
| ..\glfw-3.3.8.bin.WIN64\glfw-3.3.8.bin.WIN64\include\GLFW                                                                             |          2 |       -690 |     -5,563 |       -289 |     -6,542 |
| ..\glm-master                                                                                                                         |      1,436 |   -218,510 |    -17,786 |    -25,190 |   -261,486 |
| ..\glm-master (Files)                                                                                                                 |          4 |     -3,100 |          0 |     -1,064 |     -4,164 |
| ..\glm-master\.github                                                                                                                 |          1 |        -30 |         -1 |        -12 |        -43 |
| ..\glm-master\.github\workflows                                                                                                       |          1 |        -30 |         -1 |        -12 |        -43 |
| ..\glm-master\doc                                                                                                                     |        796 |   -151,793 |     -3,676 |     -7,592 |   -163,061 |
| ..\glm-master\doc\api                                                                                                                 |        795 |   -150,579 |     -3,630 |     -7,355 |   -161,564 |
| ..\glm-master\doc\api (Files)                                                                                                         |        607 |   -143,270 |     -3,129 |     -7,051 |   -153,450 |
| ..\glm-master\doc\api\search                                                                                                          |        188 |     -7,309 |       -501 |       -304 |     -8,114 |
| ..\glm-master\doc\theme                                                                                                               |          1 |     -1,214 |        -46 |       -237 |     -1,497 |
| ..\glm-master\glm                                                                                                                     |        427 |    -40,737 |    -13,206 |    -10,298 |    -64,241 |
| ..\glm-master\glm (Files)                                                                                                             |         23 |     -1,715 |     -1,250 |       -446 |     -3,411 |
| ..\glm-master\glm\detail                                                                                                              |         61 |    -17,163 |     -1,100 |     -3,053 |    -21,316 |
| ..\glm-master\glm\ext                                                                                                                 |        170 |     -4,316 |     -4,098 |     -1,739 |    -10,153 |
| ..\glm-master\glm\gtc                                                                                                                 |         37 |     -5,101 |     -3,265 |     -2,041 |    -10,407 |
| ..\glm-master\glm\gtx                                                                                                                 |        126 |    -11,014 |     -3,110 |     -2,706 |    -16,830 |
| ..\glm-master\glm\simd                                                                                                                |         10 |     -1,428 |       -383 |       -313 |     -2,124 |
| ..\glm-master\test                                                                                                                    |        208 |    -22,850 |       -903 |     -6,224 |    -29,977 |
| ..\glm-master\test\bug                                                                                                                |          1 |        -23 |         -2 |         -7 |        -32 |
| ..\glm-master\test\cmake                                                                                                              |          1 |        -19 |          0 |         -4 |        -23 |
| ..\glm-master\test\core                                                                                                               |         55 |     -9,035 |       -297 |     -2,336 |    -11,668 |
| ..\glm-master\test\ext                                                                                                                |         58 |     -4,451 |        -17 |     -1,302 |     -5,770 |
| ..\glm-master\test\gtc                                                                                                                |         21 |     -4,342 |       -220 |     -1,161 |     -5,723 |
| ..\glm-master\test\gtx                                                                                                                |         66 |     -4,299 |       -367 |     -1,174 |     -5,840 |
| ..\glm-master\test\perf                                                                                                               |          6 |       -681 |          0 |       -240 |       -921 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                              | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\ftconfig.h                           | C++        |         -9 |        -34 |         -9 |        -52 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\ftheader.h                           | C++        |        -95 |       -618 |       -124 |       -837 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\ftmodule.h                           | C++        |        -19 |        -12 |         -3 |        -34 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\ftoption.h                           | C++        |        -92 |       -783 |       -140 |     -1,015 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\ftstdlib.h                           | C++        |        -58 |        -79 |        -49 |       -186 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\integer-types.h                      | C++        |        -87 |       -101 |        -63 |       -251 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\mac-support.h                        | C++        |        -18 |        -27 |         -5 |        -50 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\public-macros.h                      | C++        |        -48 |        -67 |        -24 |       -139 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\freetype.h                                  | C++        |       -498 |     -4,490 |       -350 |     -5,338 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftadvanc.h                                  | C++        |        -23 |       -144 |        -22 |       -189 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftbbox.h                                    | C++        |        -14 |        -66 |        -22 |       -102 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftbdf.h                                     | C++        |        -36 |       -150 |        -27 |       -213 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftbitmap.h                                  | C++        |        -42 |       -255 |        -33 |       -330 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftbzip2.h                                   | C++        |        -14 |        -73 |        -16 |       -103 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftcache.h                                   | C++        |       -119 |       -882 |        -87 |     -1,088 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftchapters.h                                | C++        |          0 |       -150 |        -19 |       -169 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftcid.h                                     | C++        |        -23 |       -124 |        -21 |       -168 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftcolor.h                                   | C++        |       -270 |     -1,261 |       -137 |     -1,668 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftdriver.h                                  | C++        |        -33 |     -1,149 |        -65 |     -1,247 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\fterrdef.h                                  | C++        |       -190 |        -63 |        -31 |       -284 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\fterrors.h                                  | C++        |        -61 |       -182 |        -54 |       -297 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftfntfmt.h                                  | C++        |        -15 |        -59 |        -20 |        -94 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftgasp.h                                    | C++        |        -19 |       -107 |        -18 |       -144 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftglyph.h                                   | C++        |        -91 |       -586 |        -74 |       -751 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftgxval.h                                   | C++        |        -64 |       -254 |        -37 |       -355 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftgzip.h                                    | C++        |        -20 |       -114 |        -18 |       -152 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftimage.h                                   | C++        |       -207 |       -951 |       -127 |     -1,285 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftincrem.h                                  | C++        |        -46 |       -267 |        -36 |       -349 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftlcdfil.h                                  | C++        |        -32 |       -265 |        -27 |       -324 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftlist.h                                    | C++        |        -42 |       -219 |        -36 |       -297 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftlogging.h                                 | C++        |        -19 |       -141 |        -25 |       -185 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftlzw.h                                     | C++        |        -14 |        -72 |        -15 |       -101 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftmac.h                                     | C++        |        -48 |       -210 |        -32 |       -290 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftmm.h                                      | C++        |        -97 |       -645 |        -64 |       -806 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftmodapi.h                                  | C++        |        -95 |       -642 |        -71 |       -808 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftmoderr.h                                  | C++        |        -54 |       -120 |        -31 |       -205 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftotval.h                                   | C++        |        -34 |       -148 |        -25 |       -207 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftoutln.h                                   | C++        |        -65 |       -474 |        -50 |       -589 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftparams.h                                  | C++        |        -31 |       -151 |        -37 |       -219 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftpfr.h                                     | C++        |        -26 |       -133 |        -21 |       -180 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftrender.h                                  | C++        |        -82 |       -119 |        -44 |       -245 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftsizes.h                                   | C++        |        -18 |       -118 |        -24 |       -160 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftsnames.h                                  | C++        |        -36 |       -207 |        -30 |       -273 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftstroke.h                                  | C++        |        -91 |       -621 |        -62 |       -774 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftsynth.h                                   | C++        |        -23 |        -59 |        -23 |       -105 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftsystem.h                                  | C++        |        -50 |       -258 |        -43 |       -351 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\fttrigon.h                                  | C++        |        -44 |       -262 |        -45 |       -351 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\fttypes.h                                   | C++        |        -81 |       -442 |        -95 |       -618 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftwinfnt.h                                  | C++        |        -73 |       -177 |        -27 |       -277 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\otsvg.h                                     | C++        |        -41 |       -262 |        -34 |       -337 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\t1tables.h                                  | C++        |       -227 |       -459 |       -108 |       -794 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ttnameid.h                                  | C++        |       -673 |       -494 |        -69 |     -1,236 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\tttables.h                                  | C++        |       -195 |       -580 |        -81 |       -856 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\tttags.h                                    | C++        |        -89 |        -19 |        -17 |       -125 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\ft2build.h                                           | C++        |         -4 |        -30 |         -9 |        -43 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\MySpecialEngine.vcxproj                                              | XML        |       -221 |          0 |          0 |       -221 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\README.md                                                            | Markdown   |         -1 |          0 |         -2 |         -3 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\BasicFrag.frag                                               | GLSL       |         -8 |          0 |         -5 |        -13 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\BasicNoTextureFrag.frag                                      | GLSL       |         -7 |          0 |         -3 |        -10 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\BasicNoTextureVert.vert                                      | GLSL       |        -12 |          0 |         -4 |        -16 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\BasicVert.vert                                               | GLSL       |        -12 |          0 |         -4 |        -16 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\FractalFrag.frag                                             | GLSL       |        -29 |          0 |        -11 |        -40 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\FractalVert.vert                                             | GLSL       |         -6 |          0 |         -1 |         -7 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\SMappingBasicFrag.frag                                       | GLSL       |        -47 |          0 |        -11 |        -58 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\SMappingBasicVert.vert                                       | GLSL       |        -21 |          0 |         -5 |        -26 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\SMappingDepthTextureFrag.frag                                | GLSL       |         -4 |          0 |         -2 |         -6 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\SMappingDepthTextureVert.vert                                | GLSL       |         -9 |          0 |         -2 |        -11 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\SMappingNoTextureFrag.frag                                   | GLSL       |        -43 |          0 |        -11 |        -54 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\SMappingNoTextureVert.vert                                   | GLSL       |        -18 |          0 |         -5 |        -23 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\TextFrag.frag                                                | GLSL       |         -8 |          0 |         -5 |        -13 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\TextSetupFrag.frag                                           | GLSL       |         -8 |          0 |         -5 |        -13 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\TextSetupVert.vert                                           | GLSL       |         -9 |          0 |         -3 |        -12 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\TextVert.vert                                                | GLSL       |         -9 |          0 |         -2 |        -11 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\WhiteSpaceFrag.frag                                          | GLSL       |         -6 |          0 |         -2 |         -8 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Shaders\WhiteSpaceVert.vert                                          | GLSL       |         -9 |          0 |         -2 |        -11 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glad\include\KHR\khrplatform.h                                       | C++        |       -117 |       -165 |        -30 |       -312 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glad\include\glad\glad.h                                             | C++        |     -5,095 |        -20 |        -17 |     -5,132 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glad\src\glad.c                                                      | C          |     -2,447 |        -25 |        -47 |     -2,519 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glfw-3.3.8.bin.WIN64\glfw-3.3.8.bin.WIN64\include\GLFW\glfw3.h       | C++        |       -597 |     -5,068 |       -248 |     -5,913 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glfw-3.3.8.bin.WIN64\glfw-3.3.8.bin.WIN64\include\GLFW\glfw3native.h | C++        |        -93 |       -495 |        -41 |       -629 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\.appveyor.yml                                             | YAML       |        -81 |          0 |        -12 |        -93 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\.github\workflows\make_light_release.yml                  | YAML       |        -30 |         -1 |        -12 |        -43 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\.travis.yml                                               | YAML       |       -349 |          0 |        -40 |       -389 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00001_source.html                                | HTML       |       -486 |         -5 |         -3 |       -494 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00002_source.html                                | HTML       |       -114 |         -5 |         -3 |       -122 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00003_source.html                                | HTML       |       -175 |         -5 |         -3 |       -183 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00004_source.html                                | HTML       |       -898 |         -5 |         -3 |       -906 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00005_source.html                                | HTML       |       -774 |         -5 |         -3 |       -782 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00006_source.html                                | HTML       |       -255 |         -5 |         -3 |       -263 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00007.html                                       | HTML       |       -195 |         -5 |         -6 |       -206 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00007_source.html                                | HTML       |       -243 |         -5 |         -3 |       -251 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00008.html                                       | HTML       |       -139 |         -5 |         -6 |       -150 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00008_source.html                                | HTML       |       -147 |         -5 |         -3 |       -155 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00009.html                                       | HTML       |       -213 |         -5 |         -6 |       -224 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00009_source.html                                | HTML       |       -205 |         -5 |         -3 |       -213 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00010.html                                       | HTML       |       -114 |         -5 |         -6 |       -125 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00010_source.html                                | HTML       |       -126 |         -5 |         -3 |       -134 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00011.html                                       | HTML       |       -127 |         -5 |         -6 |       -138 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00011_source.html                                | HTML       |       -132 |         -5 |         -3 |       -140 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00012.html                                       | HTML       |       -124 |         -5 |         -6 |       -135 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00012_source.html                                | HTML       |       -129 |         -5 |         -3 |       -137 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00013.html                                       | HTML       |       -129 |         -5 |         -6 |       -140 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00013_source.html                                | HTML       |       -143 |         -5 |         -3 |       -151 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00014.html                                       | HTML       |       -121 |         -5 |         -6 |       -132 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00014_source.html                                | HTML       |       -134 |         -5 |         -3 |       -142 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00015.html                                       | HTML       |       -257 |         -5 |         -6 |       -268 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00015_source.html                                | HTML       |       -269 |         -5 |         -3 |       -277 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00016.html                                       | HTML       |       -121 |         -5 |         -6 |       -132 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00016_source.html                                | HTML       |       -132 |         -5 |         -3 |       -140 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00017.html                                       | HTML       |       -433 |         -5 |         -6 |       -444 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00017_source.html                                | HTML       |       -275 |         -5 |         -3 |       -283 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00018.html                                       | HTML       |       -131 |         -5 |         -6 |       -142 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00018_source.html                                | HTML       |       -138 |         -5 |         -3 |       -146 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00019_source.html                                | HTML       |       -143 |         -5 |         -3 |       -151 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00020_source.html                                | HTML       |       -123 |         -5 |         -3 |       -131 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00021.html                                       | HTML       |       -213 |         -5 |         -6 |       -224 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00021_source.html                                | HTML       |       -217 |         -5 |         -3 |       -225 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00022.html                                       | HTML       |       -182 |         -5 |         -6 |       -193 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00022_source.html                                | HTML       |       -310 |         -5 |         -3 |       -318 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00023.html                                       | HTML       |       -234 |         -5 |         -6 |       -245 |
